CityState,Year,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,ZHVI_AllHomes,ZHVI_SingleFamilyResidence,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_SingleFamilyResidence
"Boston, MA",2016,545.7053800000001,310.17191999999994,537750.0,470.75,505833.3333333333,487725.0,3.1981706028302033,
"Boston, MA",2017,,,,512.0,549787.5,527637.5,3.282403256823154,
"Charlotte, NC",2007,100.54341666666666,97.92849999999999,169437.5,94.41666666666667,159325.0,163441.66666666666,,
"Charlotte, NC",2008,105.26135000000001,100.63465833333333,176377.08333333334,93.83333333333333,158700.0,162325.0,,
"Charlotte, NC",2009,98.00121666666668,95.20601666666668,166931.25,88.08333333333333,148783.33333333334,152216.66666666666,,
"Charlotte, NC",2010,97.33977499999999,95.59164166666666,174758.33333333334,84.0,142300.0,147133.33333333334,0.6732035547914397,0.6359998256585747
"Charlotte, NC",2011,94.73574166666667,92.53336666666667,172687.5,78.0,134025.0,138641.66666666666,0.6800481742342191,0.6470569530438116
"Charlotte, NC",2012,96.62469166666666,94.441625,176812.5,78.41666666666667,133241.66666666666,138141.66666666666,0.7111822626953632,0.6799788236579721
"Charlotte, NC",2013,106.20401666666667,104.99913333333332,197852.08333333334,82.58333333333333,142875.0,147183.33333333334,0.7351352118301543,0.701278759208734
"Charlotte, NC",2014,105.01324999999999,103.05882500000001,195250.83333333334,87.08333333333333,150441.66666666666,156433.33333333334,0.7438117932702178,0.7071391761551716
"Charlotte, NC",2015,108.38782499999998,106.54490833333331,196514.58333333334,91.41666666666667,159683.33333333334,165650.0,0.7771357097772466,0.7337174989068935
"Charlotte, NC",2016,109.91678333333334,106.66204999999998,195700.0,97.83333333333333,171891.66666666666,177808.33333333334,0.8163998534281988,0.7673966337965794
"Charlotte, NC",2017,,,,105.75,183762.5,190950.0,0.8832829085808884,0.8136817005929909
"Chicago, IL",2007,214.83030833333336,205.46325833333333,271554.1666666667,214.5,246683.33333333334,249633.33333333334,,
"Chicago, IL",2008,213.60495000000003,200.089375,283866.6666666667,198.41666666666666,235183.33333333334,228516.66666666666,,
"Chicago, IL",2009,195.07063333333338,180.0777416666667,254431.25,173.75,217291.66666666666,198266.66666666666,,
"Chicago, IL",2010,179.26576666666668,162.05315000000002,235545.83333333334,157.41666666666666,199275.0,178250.0,1.5737530244592817,
"Chicago, IL",2011,171.39835000000002,146.38539166666666,219491.66666666666,140.91666666666666,180058.33333333334,158616.66666666666,1.7378630103497998,
"Chicago, IL",2012,168.84749166666666,148.41818333333333,216993.75,132.58333333333334,168183.33333333334,149633.33333333334,1.9004842516686866,
"Chicago, IL",2013,186.75955000000002,163.50280833333332,247145.83333333334,139.08333333333334,178291.66666666666,157166.66666666666,2.0302666864240275,
"Chicago, IL",2014,200.61738333333332,176.28669166666666,266195.8333333333,148.5,189891.66666666666,167108.33333333334,1.80804203117803,1.9285003362739328
"Chicago, IL",2015,201.05466666666666,182.5533833333333,268520.8333333333,156.58333333333334,199516.66666666666,173541.66666666666,1.8331293820546808,1.8997690422240086
"Chicago, IL",2016,210.30089999999998,193.53402857142856,271741.6666666667,164.75,207700.0,183183.33333333334,1.8946928174187319,1.897330008731486
"Chicago, IL",2017,,,,173.125,221787.5,194812.5,1.7517472511506524,1.6441857642424922
"Denver, CO",2007,201.69879999999998,192.33760833333335,256539.375,189.75,226025.0,246275.0,,
"Denver, CO",2008,192.33564166666665,182.6924,251076.66666666666,181.08333333333334,220158.33333333334,237466.66666666666,,
"Denver, CO",2009,176.0374666666667,171.57746666666665,222994.16666666666,171.91666666666666,210125.0,228675.0,,
"Denver, CO",2010,199.052825,200.42922499999997,240505.83333333334,179.58333333333334,216083.33333333334,234633.33333333334,1.1300325035675967,
"Denver, CO",2011,198.16622500000003,203.53495833333332,253088.33333333334,174.33333333333334,213066.66666666666,233183.33333333334,1.2160971032970924,
"Denver, CO",2012,205.64374999999998,209.79113333333336,264113.4583333333,181.58333333333334,222683.33333333334,242525.0,1.2681526465497974,
"Denver, CO",2013,222.523,228.38199166666666,278952.9166666667,199.58333333333334,245441.66666666666,268133.3333333333,1.4596613656917867,1.2976869450978927
"Denver, CO",2014,236.02994166666667,240.9850333333333,283620.8333333333,221.16666666666666,271091.6666666667,296675.0,1.5167740330265724,1.3691976213653547
"Denver, CO",2015,265.6974083333333,273.12629166666665,316758.3333333333,258.6666666666667,317208.3333333333,344541.6666666667,1.6977714523757743,1.5809292968128545
"Denver, CO",2016,292.48028571428574,300.9314,339072.5,293.4166666666667,352991.6666666667,387391.6666666667,1.7392007330241819,1.6715085343498848
"Denver, CO",2017,,,,318.5,380375.0,417050.0,1.8126747749209713,1.7801622938031425
"Detroit, MI",2007,75.42629166666667,74.72842499999999,79993.33333333333,71.41666666666667,74500.0,74333.33333333333,,
"Detroit, MI",2008,67.33303636363638,66.44751818181818,74268.18181818182,63.666666666666664,67191.66666666667,67050.0,,
"Detroit, MI",2009,32.096849999999996,31.317375,36777.083333333336,52.416666666666664,56366.666666666664,56150.0,,
"Detroit, MI",2010,20.24446666666667,20.062883333333335,23005.0,37.416666666666664,40858.333333333336,40708.333333333336,0.8327338814928072,0.7964706688079118
"Detroit, MI",2011,17.340641666666667,17.04564166666667,19825.375,33.083333333333336,34266.666666666664,34233.333333333336,0.7480918922477388,0.734477464434044
"Detroit, MI",2012,19.679991666666663,19.022675,25174.666666666668,32.5,34266.666666666664,34066.666666666664,0.7069762400255613,0.7014282110198521
"Detroit, MI",2013,21.131866666666667,20.287475,25287.5,32.166666666666664,34441.666666666664,34283.333333333336,0.7111214063511331,0.7051888668190092
"Detroit, MI",2014,24.995524999999997,23.766424999999998,30142.870833333334,32.916666666666664,35166.666666666664,35100.0,0.7329391437214362,0.7276579041421787
"Detroit, MI",2015,26.9041,25.341075000000004,34112.7125,33.25,33975.0,33733.333333333336,0.7465623627737267,0.7402166987073587
"Detroit, MI",2016,29.29802,27.751320000000003,34730.0,35.083333333333336,35383.333333333336,35150.0,0.7606514768691822,0.7536081973526723
"Detroit, MI",2017,,,,40.125,41525.0,41325.0,0.7939942727006576,0.7834367144364384
"Honolulu, HI",2007,493.9455666666667,454.70445,389736.0833333333,493.4166666666667,550108.3333333334,808400.0,,
"Honolulu, HI",2008,458.6031083333334,447.2028583333334,372144.7772727273,483.0,538808.3333333334,802641.6666666666,,
"Honolulu, HI",2009,452.4736583333334,446.71880000000004,396599.1583333334,449.8333333333333,502441.6666666667,751008.3333333334,,
"Honolulu, HI",2010,470.11568333333327,488.0003000000001,421648.5833333333,461.6666666666667,505416.6666666667,770066.6666666666,,
"Honolulu, HI",2011,479.61701666666676,505.8336916666667,420467.7083333333,458.0833333333333,508641.6666666667,766183.3333333334,2.8115726136859878,
"Honolulu, HI",2012,476.5978416666667,506.2507499999999,408295.8333333333,465.0,512525.0,777016.6666666666,2.8663993927855143,
"Honolulu, HI",2013,499.299,476.99713333333335,426640.0,497.6666666666667,551450.0,829266.6666666666,3.0052959319800916,
"Honolulu, HI",2014,534.6025583333334,509.74278333333336,455958.3333333333,531.9166666666666,582975.0,884058.3333333334,2.9405938647657712,
"Honolulu, HI",2015,552.9786333333333,559.704975,462531.25,557.5,619800.0,931541.6666666666,3.038008390617931,
"Honolulu, HI",2016,570.6065142857143,571.7745285714285,489070.8333333333,579.8333333333334,640141.6666666666,976725.0,2.893850085762816,
"Honolulu, HI",2017,,,,602.0,670025.0,1022850.0,2.879164651155418,
"Indianapolis, IN",2007,,,,80.91666666666667,,,,
"Indianapolis, IN",2008,,,,78.33333333333333,,,,
"Indianapolis, IN",2009,,,,69.0,,,,
"Indianapolis, IN",2010,,,,70.33333333333333,,,0.7311377891282366,0.7128372425018942
"Indianapolis, IN",2011,,,,66.5,,,0.6839085708914329,0.6686583556356518
"Indianapolis, IN",2012,,,,65.16666666666667,,,0.6693537427978248,0.6570149579944387
"Indianapolis, IN",2013,,,,67.16666666666667,,,0.6887577687171316,0.6792007929634255
"Indianapolis, IN",2014,,,,69.58333333333333,,,0.7010061245725354,0.6978442743101027
"Indianapolis, IN",2015,,,,72.41666666666667,,,0.707956756661669,0.7023501743947737
"Indianapolis, IN",2016,,,,70.58333333333333,,,0.7227376682234903,0.7153753839386104
"Indianapolis, IN",2017,,,,73.25,,,0.7551040009087031,0.7467137788322766
"Los Angeles, CA",2007,426.56901666666676,426.0608333333333,583587.75,409.6666666666667,579966.6666666666,609683.3333333334,,
"Los Angeles, CA",2008,364.1916083333333,354.13055833333334,525482.3041666667,343.5,487733.3333333333,511208.3333333333,,
"Los Angeles, CA",2009,298.0844583333333,285.296625,434136.95,278.9166666666667,412808.3333333333,431183.3333333333,,
"Los Angeles, CA",2010,281.4483833333333,272.3523666666667,407480.8666666667,279.0,415516.6666666667,437391.6666666667,1.768184042714525,1.776325582516862
"Los Angeles, CA",2011,262.4565833333334,259.89107500000006,383473.67500000005,263.1666666666667,391950.0,415216.6666666667,1.8433275091067023,1.8507356523210756
"Los Angeles, CA",2012,271.9042416666667,272.9634083333333,409909.8541666667,262.8333333333333,388050.0,412541.6666666667,1.8064091725157982,1.7752999593171976
"Los Angeles, CA",2013,326.64096666666666,324.97062500000004,483443.75,307.8333333333333,450033.3333333333,477083.3333333333,1.8201164271695847,1.766326233276499
"Los Angeles, CA",2014,363.1585,366.2053833333334,536237.5,342.5833333333333,503325.0,533675.0,2.000724000386567,1.9528646011879678
"Los Angeles, CA",2015,382.86740000000003,385.0283083333332,565691.6666666666,365.8333333333333,541033.3333333334,572350.0,2.2895665423448937,2.239572100943759
"Los Angeles, CA",2016,406.3040285714286,409.11157142857144,601091.6666666666,398.3333333333333,585858.3333333334,619208.3333333334,2.400101033455559,2.3461286364137304
"Los Angeles, CA",2017,,,,424.125,625287.5,660787.5,2.5495222840995315,2.518851035630757
"Miami, FL",2007,315.61830000000003,253.0544,326150.0,322.6666666666667,362775.0,383791.6666666667,,
"Miami, FL",2008,293.1973500000001,215.85512500000002,343204.8333333333,269.0833333333333,305025.0,326458.3333333333,,
"Miami, FL",2009,217.94016666666667,158.61552499999996,270849.39166666666,196.08333333333334,224191.66666666666,229533.33333333334,,
"Miami, FL",2010,200.47460833333332,133.12226666666666,211269.1416666667,172.41666666666666,180716.66666666666,180591.66666666666,1.8527318530736947,1.6380119804592297
"Miami, FL",2011,182.22373333333334,121.1626833333333,197968.75,160.33333333333334,173283.33333333334,164675.0,1.9449203236498454,1.5787440848315761
"Miami, FL",2012,212.17070833333332,129.7739,226169.16666666666,175.5,190958.33333333334,167425.0,2.0730250681518094,1.634049363490373
"Miami, FL",2013,270.858375,165.6541083333333,295918.3333333333,218.83333333333334,230616.66666666666,188375.0,2.212209526801872,1.6374408025667548
"Miami, FL",2014,297.085725,199.18675833333336,319385.4166666667,253.58333333333334,264325.0,225891.66666666666,2.281322920275325,1.7164535191930883
"Miami, FL",2015,309.141075,207.75020000000004,329895.8333333333,277.1666666666667,281850.0,256441.66666666666,2.42356436159741,1.8134244519702118
"Miami, FL",2016,310.20584285714284,238.71887142857142,317995.8333333333,297.3333333333333,295541.6666666667,289483.3333333333,2.4203458462466814,1.8823666071839187
"Miami, FL",2017,,,,296.75,301012.5,308062.5,2.419638672131156,1.9026928348043763
"Minneapolis, MN",2007,208.3419666666667,189.69414166666664,230186.75,193.16666666666666,213058.33333333334,215933.33333333334,,
"Minneapolis, MN",2008,191.59465,177.81162499999996,220637.5,180.33333333333334,199483.33333333334,202225.0,,
"Minneapolis, MN",2009,168.20906666666664,157.92354166666664,197355.9833333333,168.66666666666666,184050.0,189866.66666666666,,
"Minneapolis, MN",2010,166.61687500000002,157.42218333333335,186758.33333333334,161.75,178350.0,183025.0,,
"Minneapolis, MN",2011,150.87809166666668,140.291375,169675.25,148.58333333333334,164316.66666666666,168108.33333333334,,
"Minneapolis, MN",2012,147.34050833333333,141.1404,166313.33333333334,147.0,163083.33333333334,166308.33333333334,1.6040308747855903,1.14127082048118
"Minneapolis, MN",2013,167.50905833333331,161.764475,188083.33333333334,162.5,179325.0,185150.0,1.596054595407429,1.1794237552958216
"Minneapolis, MN",2014,183.2864833333333,177.63817499999996,202134.275,173.75,192208.33333333334,197983.33333333334,1.398986397717145,1.2116218029288959
"Minneapolis, MN",2015,194.77605833333334,190.15530833333332,218763.58333333334,183.16666666666666,204650.0,209516.66666666666,1.4877411672254917,1.2711385447593584
"Minneapolis, MN",2016,202.07674285714285,197.2008,228130.83333333334,196.66666666666666,220825.0,225475.0,1.5284894648925258,1.3020524079742475
"Minneapolis, MN",2017,,,,210.125,235325.0,240125.0,1.6336306838679024,1.398381871448154
"New York, NY",2007,433.64855000000006,329.48194166666667,515229.6666666667,381.3333333333333,513875.0,522225.0,,
